Timestamp,Overall how would you rate your knowledge and skill with the following [Excel],Overall how would you rate your knowledge and skill with the following [Tableau],Overall how would you rate your knowledge and skill with the following [Adobe Photoshop],Overall how would you rate your knowledge and skill with the following [PowerPoint],Overall how would you rate your knowledge and skill with the following [Google Charts],Overall how would you rate your knowledge and skill with the following [JavaScript],Overall how would you rate your knowledge and skill with the following [HTML],Overall how would you rate your knowledge and skill with the following [CSS],Overall how would you rate your knowledge and skill with the following [R],Overall how would you rate your knowledge and skill with the following [Python],"Overall, how would your rate your knowlege and skill in creating the following display types [Pie Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Bar Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Line Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Scatterplot]","Overall, how would your rate your knowlege and skill in creating the following display types [Histogram]","Overall, how would your rate your knowlege and skill in creating the following display types [Boxplot]","Overall, how would your rate your knowlege and skill in creating the following display types [Density Plot]","Overall, how would your rate your knowlege and skill in creating the following display types [Stacked Area Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Bubble Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Tables]","Overall, how would your rate your knowlege and skill in creating the following display types [Box Plot]","Overall, how would your rate your knowlege and skill in creating the following display types [Location Map]","Overall, how would your rate your knowlege and skill in creating the following display types [Choropleth]","Overall, how would your rate your knowlege and skill in creating the following display types [Stacked Bar Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Heat Maps]","Overall, how would your rate your knowlege and skill in creating the following display types [Cartograms]","Overall, how would your rate your knowlege and skill in creating the following display types [Bubble Maps]","Overall, how would your rate your knowlege and skill in creating the following display types [Animated charts]","Overall, how would your rate your knowlege and skill in creating the following display types [Interactive / web based charts]",Which of the following charts could you use to show categorical data?,Which chart type is best for displaying time series data?,What are the values for April in the chart above?,"Overall, the east coast had more fatal and non-fatal aircraft injuries than the west coast from 2009 to 2013. ","From 2002 to 2012, Jamaica's rural population did not grow. "
9/19/2016 18:07:11,Good,Very Good,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map, Histogram",Line Chart,15,TRUE,TRUE
9/19/2016 18:34:22,Good,Good,Good,Very Good,No knowledge,Poor,Very Good,Good,Average,Poor,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Good,Poor,Good,Poor,Average,Column Bar Chart,Line Chart,This chart is unreadable.,TRUE,TRUE
9/19/2016 19:41:06,Very Good,Average,No knowledge,Very Good,No knowledge,Poor,Poor,Poor,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,Average,Average,Good,Average,Average,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,25,TRUE,TRUE
9/19/2016 20:49:36,Very Good,Very Good,Poor,Very Good,Good,No knowledge,Very Poor,Very Poor,Average,Poor,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Good,Poor,Good,"Stacked Bar Chart, Column Bar Chart, Choropleth Map",Line Chart,Probably about 12.5 for each,TRUE,TRUE
9/19/2016 21:37:54,Average,Poor,No knowledge,Average,Average,No knowledge,Very Poor,No knowledge,Average,Poor,Average,Good,Good,Good,Good,Good,Average,Poor,Very Poor,Good,Good,Average,Good,Good,Poor,Poor,Poor,Poor,Average,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map, Histogram",Line Chart,25,TRUE,FALSE
9/20/2016 6:28:17,Very Good,Poor,No knowledge,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Poor,Poor,Good,Good,Very Good,Very Poor,Very Poor,Very Poor,Very Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Histogram,Line Chart,20,TRUE,FALSE
9/20/2016 8:59:02,Good,Poor,No knowledge,Very Good,No knowledge,No knowledge,Very Poor,No knowledge,Average,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Good,Good,Very Good,Very Good,Poor,Very Poor,Very Good,Good,Poor,Good,Average,Poor,"Column Bar Chart, Histogram",Line Chart,12.5,TRUE,TRUE
9/20/2016 14:50:22,Good,Poor,Poor,Very Good,Poor,No knowledge,Very Poor,No knowledge,Good,Poor,Very Good,Very Good,Very Good,Very Good,Average,Average,Average,Good,Good,Very Good,Average,Average,Very Poor,Average,Poor,Very Poor,Poor,Average,Average,"Stacked Bar Chart, Column Bar Chart",Line Chart,25,TRUE,FALSE
9/20/2016 17:46:29,Good,Poor,Poor,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Very Poor,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Good,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Column Bar Chart,Line Chart,20,FALSE,TRUE
9/21/2016 0:53:24,Average,Good,Poor,Average,No knowledge,Very Poor,Poor,Poor,Average,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Good,Good,Very Good,Good,Poor,Average,Very Good,Good,Poor,Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Choropleth Map",Line Chart,"~20 for the blue category, ~21 for the green category",TRUE,TRUE
